feature_name,endpoint_name,endpoint_path,download_method,segment_unit,suggested_period,instruments_or_ccys,start,end,requires_private_api_key,requires_okx_historical_file,prerequisite,output_target,warning
mark price,Mark Price,/api/v5/public/mark-price,segmented_public_api,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC-USDT-SWAP,ETH-USDT-SWAP,SOL-USDT-SWAP,LINK-USDT-SWAP,DOGE-USDT-SWAP",2023-01-01,2026-03-31,false,false,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,current_snapshot_only
index price,Index Ticker,/api/v5/market/index-tickers,segmented_public_api,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC-USDT-SWAP,ETH-USDT-SWAP,SOL-USDT-SWAP,LINK-USDT-SWAP,DOGE-USDT-SWAP",2023-01-01,2026-03-31,false,false,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,current_snapshot_only
taker buy/sell volume,Taker Buy/Sell Volume,/api/v5/rubik/stat/taker-volume,historical_file_or_manual_source_audit,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC,ETH,SOL,LINK,DOGE",2023-01-01,2026-03-31,false,true,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,start_boundary_probe_failed_or_empty
contract long/short account ratio,Contract Long/Short Account Ratio,/api/v5/rubik/stat/contracts/long-short-account-ratio,historical_file_or_manual_source_audit,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC,ETH,SOL,LINK,DOGE",2023-01-01,2026-03-31,false,true,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,start_boundary_probe_failed_or_empty; docs_added_after_requested_start:2024-06-13
contracts open interest and volume,Contracts Open Interest and Volume,/api/v5/rubik/stat/contracts/open-interest-volume,historical_file_or_manual_source_audit,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC,ETH,SOL,LINK,DOGE",2023-01-01,2026-03-31,false,true,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,start_boundary_probe_failed_or_empty
open interest history,Contract Open Interest History,/api/v5/rubik/stat/contracts/open-interest-history,historical_file_or_manual_source_audit,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC,ETH,SOL,LINK,DOGE",2023-01-01,2026-03-31,false,true,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,start_boundary_probe_failed_or_empty; docs_added_after_requested_start:2024-06-13
mark price candle history,Mark Price Candles History,/api/v5/market/history-mark-price-candles,segmented_public_api,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC-USDT-SWAP,ETH-USDT-SWAP,SOL-USDT-SWAP,LINK-USDT-SWAP,DOGE-USDT-SWAP",2023-01-01,2026-03-31,false,false,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,
index price candle history,Index Candles History,/api/v5/market/history-index-candles,segmented_public_api,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC-USDT-SWAP,ETH-USDT-SWAP,SOL-USDT-SWAP,LINK-USDT-SWAP,DOGE-USDT-SWAP",2023-01-01,2026-03-31,false,false,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,
premium/basis historical,Premium History,/api/v5/public/premium-history,segmented_public_api,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC-USDT-SWAP,ETH-USDT-SWAP,SOL-USDT-SWAP,LINK-USDT-SWAP,DOGE-USDT-SWAP",2023-01-01,2026-03-31,false,false,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,start_boundary_probe_failed_or_empty
detailed liquidation data,,,historical_file_or_manual_source_audit,daily_or_monthly_chunks,1D for audit baseline; refine before modeling,"BTC-USDT-SWAP,ETH-USDT-SWAP,SOL-USDT-SWAP,LINK-USDT-SWAP,DOGE-USDT-SWAP",2023-01-01,2026-03-31,false,true,endpoint start-boundary probe must pass before bulk download,data/derivatives/okx/<feature>/,No multi-year public historical liquidation endpoint was accepted for this audit.
